aannemer,aannemer,https://iisg.amsterdam/resource/hisco/code/hisco/21240,Contractor,"Contracts on predetermined terms to provide labour and materials and to be responsible for the completion of a job or project in accordance with established specifications or plans."
"aannemer - timmerman","aannemer - timmerman",https://iisg.amsterdam/resource/hisco/code/hisco/21240,Contractor,"Contracts on predetermined terms to provide labour and materials and to be responsible for the completion of a job or project in accordance with established specifications or plans."
aardappelenkoopman,aardappelenkoopman,https://iisg.amsterdam/resource/hisco/code/hisco/41025,"Working Proprietor (Wholesale or Retail Trade)","Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
aardappelhandelaar,aardappelhandelaar,https://iisg.amsterdam/resource/hisco/code/hisco/41025,"Working Proprietor (Wholesale or Retail Trade)","Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
aardappelkoopman,aardappelkoopman,https://iisg.amsterdam/resource/hisco/code/hisco/41025,"Working Proprietor (Wholesale or Retail Trade)","Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
aardwerker,aardwerker,https://iisg.amsterdam/resource/hisco/code/hisco/97400,"Excavator, Specialisation Unknown","May perform any (but not all) of the occupational activities described in 9-74.20 to 9-74.90."
accrobaat,accrobaat,https://iisg.amsterdam/resource/hisco/code/hisco/17540,Acrobat,"Entertains circus, theatre, television and other audiences by performing difficult and spectacular acrobatics."
acrobaat,acrobaat,https://iisg.amsterdam/resource/hisco/code/hisco/17540,Acrobat,"Entertains circus, theatre, television and other audiences by performing difficult and spectacular acrobatics."
"adjunct magazijnmeester","adjunct magazijnmeester",https://iisg.amsterdam/resource/hisco/code/hisco/39140,"Storeroom Clerk","Receives, stores and issues tools, merchandise, equipment or other goods and maintains relevant records."
Administrateur,administrateur,https://iisg.amsterdam/resource/hisco/code/hisco/20210,"Government Administrator","Plans, organises, directs and controls, subject to a broad mandate from political head or governing body, the activities of a national, state, provincial or local government department (or subdepartment), government administrative agency or intergovernmental organisation (or one of its departments); advises political head or governing body on important policy questions; makes decisions within his or her broad discretionary power; performs other high-level functions in connection with government administration."
administrateur,administrateur,https://iisg.amsterdam/resource/hisco/code/hisco/21940,"Administration Manager","Plans, organises and controls the internal administration of an industrial, commercial or other organisation and participates in formulating the administrative policy of the organisation. Workers sometimes described as ""office managers"", who are occupied mainly in directly supervising workers in clerical occupations, are classified in unit group 2-21."
"agent van politie","agent van politie",https://iisg.amsterdam/resource/hisco/code/hisco/58220,"Policeman and other Maintainers of Law and Order (except Military)","Maintains law and order, protects persons and property from hazards and unlawful acts and arrests persons for contraventions of the law."
antiekwerker,antiekwerker,https://iisg.amsterdam/resource/hisco/code/hisco/81120,Cabinetmaker,"Makes completely and repairs wooden articles, such as cabinets and furniture, using woodworking machines and hand tools."
apothekersbediende,apothekersbediende,https://iisg.amsterdam/resource/hisco/code/hisco/06710,Pharmacist,"Makes and dispenses medicaments and related preparations according to prescriptions or formulae."
arbbeider,arbbeider,https://iisg.amsterdam/resource/hisco/code/hisco/99900,"Worker, No Further Information","May perform any (but not all) of the occupational activities listed in unit group 9-99, but is described only by the single term >worker=."
